edgeLength; RepulsionStrength; nodesOverlapping; Area; EdgeCrossings; MultiLevelScaling; SmartRepulsionRange; SmartEdgeLength; CountNodes; CountEdges; CountMaxDepth; CountAvgDepth; CountAvgDensity;
5;7;0;1973;2;1;1;1;25;18;4;2;2;
5;8;0;2145;2;1;0;0;25;18;4;2;2;
5;8;0;2062;2;1;1;0;25;18;4;2;2;
5;8;0;2003;2;1;1;1;25;18;4;2;2;
5;9;0;2086;2;0;0;0;25;18;4;2;2;
5;9;0;2061;2;0;1;0;25;18;4;2;2;
5;9;0;2318;2;1;0;0;25;18;4;2;2;
6;1;0;1478;2;0;0;0;25;18;4;2;2;
6;1;0;1286;7;0;0;1;25;18;4;2;2;
6;1;0;1878;4;0;1;1;25;18;4;2;2;
6;1;0;1443;2;1;1;0;25;18;4;2;2;
6;2;0;1584;6;0;0;1;25;18;4;2;2;
6;2;0;1795;4;0;1;0;25;18;4;2;2;
6;2;0;1911;4;0;1;1;25;18;4;2;2;
6;2;0;2043;4;1;0;1;25;18;4;2;2;
6;2;0;1911;4;1;1;1;25;18;4;2;2;
6;3;0;1594;6;0;0;1;25;18;4;2;2;
6;3;0;1641;6;0;1;1;25;18;4;2;2;
6;4;0;1680;4;0;0;0;25;18;4;2;2;
6;4;0;1701;6;1;0;1;25;18;4;2;2;
6;4;0;1668;4;1;1;0;25;18;4;2;2;
6;5;0;1809;6;0;0;1;25;18;4;2;2;
6;5;0;1982;2;1;0;0;25;18;4;2;2;
6;5;0;2005;2;1;0;1;25;18;4;2;2;
6;6;0;1820;2;0;0;0;25;18;4;2;2;
6;6;0;1808;4;1;0;0;25;18;4;2;2;
6;6;0;2089;2;1;0;1;25;18;4;2;2;
6;6;0;1956;2;1;1;0;25;18;4;2;2;
6;7;0;1876;2;0;0;0;25;18;4;2;2;
6;7;0;1865;2;1;0;0;25;18;4;2;2;
6;7;0;2109;2;1;0;1;25;18;4;2;2;
6;8;0;1913;2;0;0;0;25;18;4;2;2;
6;8;0;1987;2;0;1;0;25;18;4;2;2;
6;8;0;2118;2;0;1;1;25;18;4;2;2;
6;8;0;1996;2;1;0;0;25;18;4;2;2;
6;8;0;2011;2;1;0;1;25;18;4;2;2;
6;8;0;1987;2;1;1;0;25;18;4;2;2;
6;9;0;2435;2;0;1;1;25;18;4;2;2;
6;9;0;1940;2;1;0;0;25;18;4;2;2;
6;9;0;2024;2;1;0;1;25;18;4;2;2;
6;9;0;2480;2;1;1;0;25;18;4;2;2;
7;1;0;1715;5;0;0;1;25;18;4;2;2;
7;1;0;1345;9;0;1;0;25;18;4;2;2;
7;1;0;1583;9;1;0;1;25;18;4;2;2;
7;1;0;1345;9;1;1;0;25;18;4;2;2;
7;2;0;1646;4;0;0;0;25;18;4;2;2;
7;2;0;1763;8;0;1;1;25;18;4;2;2;
7;2;0;1847;2;1;0;0;25;18;4;2;2;
7;2;0;1802;8;1;0;1;25;18;4;2;2;
7;2;0;1792;8;1;1;1;25;18;4;2;2;
7;3;0;1766;2;0;0;0;25;18;4;2;2;
7;3;0;1743;6;0;1;1;25;18;4;2;2;
7;3;0;1762;2;1;0;0;25;18;4;2;2;
7;3;0;1797;2;1;1;0;25;18;4;2;2;
7;4;0;1905;4;0;0;0;25;18;4;2;2;
7;4;0;1840;6;0;0;1;25;18;4;2;2;
7;4;0;2079;4;0;1;1;25;18;4;2;2;
7;4;0;2346;6;1;0;1;25;18;4;2;2;
7;4;0;2079;4;1;1;1;25;18;4;2;2;
7;5;0;1900;2;0;1;0;25;18;4;2;2;
7;5;0;2279;4;0;1;1;25;18;4;2;2;
7;5;0;1864;2;1;1;0;25;18;4;2;2;
7;5;0;2360;4;1;1;1;25;18;4;2;2;
7;6;0;1901;6;0;0;1;25;18;4;2;2;
7;6;0;2448;4;1;0;0;25;18;4;2;2;
7;6;0;2202;2;1;0;1;25;18;4;2;2;
7;6;0;2448;4;1;1;0;25;18;4;2;2;
7;7;0;2085;2;0;1;0;25;18;4;2;2;
7;7;0;2555;6;0;1;1;25;18;4;2;2;
7;7;0;2222;2;1;0;0;25;18;4;2;2;
7;7;0;2285;2;1;0;1;25;18;4;2;2;
7;7;0;2555;6;1;1;1;25;18;4;2;2;
7;8;0;2488;3;0;0;0;25;18;4;2;2;
7;8;0;2062;2;0;1;0;25;18;4;2;2;
7;8;0;2032;6;0;1;1;25;18;4;2;2;
7;8;0;2245;2;1;0;0;25;18;4;2;2;
7;8;0;2382;2;1;0;1;25;18;4;2;2;
7;8;0;2176;4;1;1;0;25;18;4;2;2;
7;9;0;2166;4;0;0;1;25;18;4;2;2;
7;9;0;2071;2;0;1;0;25;18;4;2;2;
7;9;0;2999;4;0;1;1;25;18;4;2;2;
7;9;0;2094;4;1;0;0;25;18;4;2;2;
7;9;0;2391;2;1;0;1;25;18;4;2;2;
7;9;0;2094;4;1;1;0;25;18;4;2;2;
7;9;0;2999;4;1;1;1;25;18;4;2;2;
8;1;0;1811;8;0;0;0;25;18;4;2;2;
8;1;0;1654;9;1;0;0;25;18;4;2;2;
8;1;0;1613;9;1;0;1;25;18;4;2;2;
8;1;0;2209;6;1;1;1;25;18;4;2;2;
8;2;0;1679;9;0;0;0;25;18;4;2;2;
8;2;0;2008;9;0;0;1;25;18;4;2;2;
8;2;0;1685;9;0;1;0;25;18;4;2;2;
8;2;0;2012;9;0;1;1;25;18;4;2;2;
8;2;0;1796;9;1;0;0;25;18;4;2;2;
8;3;0;1893;4;1;0;0;25;18;4;2;2;
8;3;0;1981;9;1;0;1;25;18;4;2;2;
8;4;0;1937;6;0;0;0;25;18;4;2;2;
8;4;0;2016;9;1;0;1;25;18;4;2;2;
8;4;0;1841;2;1;1;0;25;18;4;2;2;
8;5;0;2270;4;0;0;0;25;18;4;2;2;
8;5;0;2141;9;0;0;1;25;18;4;2;2;
8;5;0;2006;2;0;1;0;25;18;4;2;2;
8;5;0;2069;2;1;0;0;25;18;4;2;2;
8;5;0;2069;2;1;1;0;25;18;4;2;2;
8;6;0;2042;4;0;0;0;25;18;4;2;2;
8;6;0;2038;2;0;1;0;25;18;4;2;2;
8;6;0;2108;9;0;1;1;25;18;4;2;2;
8;6;0;2264;2;1;0;0;25;18;4;2;2;
8;6;0;2311;2;1;0;1;25;18;4;2;2;
8;7;0;2120;6;0;0;1;25;18;4;2;2;
8;7;0;2318;2;0;1;0;25;18;4;2;2;
8;7;0;2318;2;1;0;0;25;18;4;2;2;
8;7;0;2414;2;1;0;1;25;18;4;2;2;
8;7;0;2415;2;1;1;0;25;18;4;2;2;
8;8;0;2116;6;0;1;1;25;18;4;2;2;
8;8;0;2534;2;1;0;1;25;18;4;2;2;
8;9;0;2225;4;0;1;0;25;18;4;2;2;
8;9;0;2190;6;0;1;1;25;18;4;2;2;
8;9;0;2241;2;1;1;0;25;18;4;2;2;
8;9;0;2190;6;1;1;1;25;18;4;2;2;
9;1;0;1686;9;0;0;0;25;18;4;2;2;
9;1;0;1580;9;0;1;0;25;18;4;2;2;
9;1;0;2207;9;0;1;1;25;18;4;2;2;
9;1;0;1990;9;1;0;0;25;18;4;2;2;
9;1;0;2334;6;1;1;1;25;18;4;2;2;
9;2;0;2227;9;0;0;1;25;18;4;2;2;
9;2;0;2227;9;0;1;1;25;18;4;2;2;
9;2;0;2227;9;1;0;1;25;18;4;2;2;
9;2;0;2227;9;1;1;1;25;18;4;2;2;
9;3;0;1919;9;1;0;0;25;18;4;2;2;
9;4;0;2018;6;0;0;0;25;18;4;2;2;
9;7;0;2359;9;0;1;1;25;18;4;2;2;
9;7;0;2462;4;1;0;0;25;18;4;2;2;
9;7;0;2613;4;1;0;1;25;18;4;2;2;
9;7;0;2224;4;1;1;0;25;18;4;2;2;
9;7;0;2613;4;1;1;1;25;18;4;2;2;
9;8;0;2315;2;0;0;0;25;18;4;2;2;
9;8;0;2359;9;0;1;1;25;18;4;2;2;
9;8;0;2200;4;1;0;0;25;18;4;2;2;
9;8;0;2723;4;1;0;1;25;18;4;2;2;
9;8;0;2723;4;1;1;1;25;18;4;2;2;
9;9;0;2377;6;0;0;1;25;18;4;2;2;
9;9;0;2618;2;0;1;0;25;18;4;2;2;
9;9;0;2358;6;0;1;1;25;18;4;2;2;
9;9;0;2309;4;1;0;0;25;18;4;2;2;
9;9;0;3283;4;1;0;1;25;18;4;2;2;
9;9;0;2850;4;1;1;0;25;18;4;2;2;
9;9;0;3283;4;1;1;1;25;18;4;2;2;
10;1;0;2461;7;0;0;1;25;18;4;2;2;
10;2;0;2214;9;1;1;0;25;18;4;2;2;
10;4;0;2924;9;1;1;1;25;18;4;2;2;
10;5;0;1885;6;0;0;1;25;18;4;2;2;
10;6;0;2274;6;0;0;0;25;18;4;2;2;
10;6;0;3296;6;0;1;0;25;18;4;2;2;
10;6;0;2598;7;1;0;1;25;18;4;2;2;
10;7;0;2607;2;1;0;0;25;18;4;2;2;
10;7;0;2489;11;1;0;1;25;18;4;2;2;
10;7;0;2607;2;1;1;0;25;18;4;2;2;
10;8;0;3147;6;0;0;1;25;18;4;2;2;
10;8;0;2584;11;0;1;1;25;18;4;2;2;
10;8;0;2730;2;1;0;0;25;18;4;2;2;
10;8;0;2604;11;1;0;1;25;18;4;2;2;
10;8;0;2730;2;1;1;0;25;18;4;2;2;
10;8;0;2604;11;1;1;1;25;18;4;2;2;
10;9;0;2625;9;0;0;1;25;18;4;2;2;
10;9;0;2351;4;1;0;0;25;18;4;2;2;
10;9;0;3093;4;1;0;1;25;18;4;2;2;
10;9;0;2647;9;1;1;1;25;18;4;2;2;
11;1;0;2502;11;0;0;0;25;18;4;2;2;
11;1;0;2651;9;0;0;1;25;18;4;2;2;
11;1;0;2178;8;1;0;0;25;18;4;2;2;
11;1;0;2869;9;1;1;1;25;18;4;2;2;
11;2;0;2463;9;0;0;0;25;18;4;2;2;
11;2;0;2345;9;0;1;0;25;18;4;2;2;
11;2;0;2428;9;1;0;0;25;18;4;2;2;
11;2;0;3083;7;1;1;1;25;18;4;2;2;
11;4;0;2899;7;1;0;1;25;18;4;2;2;
11;5;0;2991;9;1;0;0;25;18;4;2;2;
11;5;0;2018;6;1;0;1;25;18;4;2;2;
11;5;0;2991;9;1;1;0;25;18;4;2;2;
11;5;0;2705;7;1;1;1;25;18;4;2;2;
11;6;0;3325;4;0;0;1;25;18;4;2;2;
11;6;0;2030;6;1;0;1;25;18;4;2;2;
11;7;0;2037;6;0;0;1;25;18;4;2;2;
11;7;0;2825;2;1;0;0;25;18;4;2;2;
11;7;0;2071;6;1;0;1;25;18;4;2;2;
11;7;0;2859;2;1;1;0;25;18;4;2;2;
11;7;0;2071;6;1;1;1;25;18;4;2;2;
11;8;0;2804;11;0;0;1;25;18;4;2;2;
11;8;0;2968;4;0;1;1;25;18;4;2;2;
11;8;0;3642;6;1;0;1;25;18;4;2;2;
11;9;0;2854;11;0;0;1;25;18;4;2;2;
11;9;0;3094;2;0;1;0;25;18;4;2;2;
11;9;0;2838;11;0;1;1;25;18;4;2;2;
11;9;0;2021;5;1;0;1;25;18;4;2;2;
11;9;0;2838;11;1;1;1;25;18;4;2;2;
12;1;0;3083;7;1;0;1;25;18;4;2;2;
12;1;0;1877;6;1;1;0;25;18;4;2;2;
12;1;0;3140;5;1;1;1;25;18;4;2;2;
12;2;0;2881;5;0;0;0;25;18;4;2;2;
12;2;0;2881;5;0;1;0;25;18;4;2;2;
12;4;0;3084;7;0;0;1;25;18;4;2;2;
12;4;0;3044;7;0;1;1;25;18;4;2;2;
12;4;0;3044;7;1;0;1;25;18;4;2;2;
12;4;0;3044;7;1;1;1;25;18;4;2;2;
12;5;0;2627;9;0;1;0;25;18;4;2;2;
12;5;0;2627;9;1;1;0;25;18;4;2;2;
12;8;0;2870;9;0;1;1;25;18;4;2;2;
12;8;0;2212;8;1;0;1;25;18;4;2;2;
12;8;0;2253;8;1;1;1;25;18;4;2;2;
12;9;0;2236;6;1;0;1;25;18;4;2;2;
12;9;0;3412;6;1;1;0;25;18;4;2;2;
12;9;0;2236;6;1;1;1;25;18;4;2;2;
13;1;0;2020;8;0;0;0;25;18;4;2;2;
13;1;0;3805;6;0;1;1;25;18;4;2;2;
13;1;0;3637;4;1;0;1;25;18;4;2;2;
13;1;0;3719;6;1;1;1;25;18;4;2;2;
13;4;0;3380;5;1;0;1;25;18;4;2;2;
13;4;0;3380;5;1;1;1;25;18;4;2;2;
13;9;0;3253;9;0;0;1;25;18;4;2;2;
13;9;0;3253;9;0;1;1;25;18;4;2;2;
13;9;0;2452;6;1;0;1;25;18;4;2;2;
13;9;0;3145;11;1;1;0;25;18;4;2;2;
13;9;0;2452;6;1;1;1;25;18;4;2;2;
14;1;0;3953;5;0;0;1;25;18;4;2;2;
14;1;0;3956;7;0;1;1;25;18;4;2;2;
14;1;0;3935;4;1;0;1;25;18;4;2;2;
14;2;0;3584;9;0;1;1;25;18;4;2;2;
14;2;0;4312;2;1;0;1;25;18;4;2;2;
14;3;0;3444;5;0;0;0;25;18;4;2;2;
14;3;0;3564;5;0;0;1;25;18;4;2;2;
14;3;0;3444;5;0;1;0;25;18;4;2;2;
14;3;0;3564;5;1;0;1;25;18;4;2;2;
14;5;0;3692;9;0;0;1;25;18;4;2;2;
14;5;0;3692;9;0;1;1;25;18;4;2;2;
14;6;0;2408;6;0;0;0;25;18;4;2;2;
14;6;0;2394;6;0;1;0;25;18;4;2;2;
14;6;0;3710;5;1;0;0;25;18;4;2;2;
14;6;0;3810;5;1;1;0;25;18;4;2;2;
14;7;0;3642;7;0;0;1;25;18;4;2;2;
14;8;0;2975;7;1;0;0;25;18;4;2;2;
14;9;0;3736;7;0;0;1;25;18;4;2;2;
14;9;0;3736;7;0;1;1;25;18;4;2;2;
14;9;0;3736;7;1;1;1;25;18;4;2;2;
edgeLength; RepulsionStrength; nodesOverlapping; Area; EdgeCrossings; MultiLevelScaling; SmartRepulsionRange; SmartEdgeLength; CountNodes; CountEdges; CountMaxDepth; CountAvgDepth; CountAvgDensity;
edgeLength; RepulsionStrength; nodesOverlapping; Area; EdgeCrossings; MultiLevelScaling; SmartRepulsionRange; SmartEdgeLength; CountNodes; CountEdges; CountMaxDepth; CountAvgDepth; CountAvgDensity;
2;1;0;985;2;0;1;1;25;18;4;2;2;
2;1;0;950;2;1;0;1;25;18;4;2;2;
2;2;0;960;2;0;0;1;25;18;4;2;2;
2;2;0;961;2;1;0;1;25;18;4;2;2;
2;3;0;1004;2;1;0;0;25;18;4;2;2;
2;3;0;1078;2;1;0;1;25;18;4;2;2;
2;4;0;1169;2;0;1;1;25;18;4;2;2;
2;9;0;1994;4;0;0;1;25;18;4;2;2;
2;9;0;1720;2;1;0;1;25;18;4;2;2;
3;1;0;1082;2;0;0;0;25;18;4;2;2;
3;1;0;1035;2;1;1;0;25;18;4;2;2;
3;2;0;1108;2;0;0;0;25;18;4;2;2;
3;2;0;1174;2;0;0;1;25;18;4;2;2;
3;2;0;1125;2;0;1;0;25;18;4;2;2;
3;3;0;1246;2;0;0;1;25;18;4;2;2;
3;3;0;1189;2;1;0;1;25;18;4;2;2;
3;4;0;1336;2;0;0;0;25;18;4;2;2;
3;4;0;1519;2;0;1;1;25;18;4;2;2;
3;4;0;1463;4;1;1;1;25;18;4;2;2;
3;5;0;1560;2;0;0;1;25;18;4;2;2;
3;5;0;1377;2;0;1;0;25;18;4;2;2;
3;5;0;1489;2;1;0;1;25;18;4;2;2;
3;6;0;1468;2;0;1;1;25;18;4;2;2;
3;6;0;1603;2;1;0;1;25;18;4;2;2;
3;6;0;1564;2;1;1;0;25;18;4;2;2;
3;7;0;1733;2;0;0;0;25;18;4;2;2;
3;7;0;1239;2;1;1;0;25;18;4;2;2;
3;7;0;1542;2;1;1;1;25;18;4;2;2;
3;8;0;1863;2;0;1;1;25;18;4;2;2;
3;8;0;1365;4;1;1;1;25;18;4;2;2;
3;9;0;1766;2;0;0;1;25;18;4;2;2;
3;9;0;2030;2;1;0;1;25;18;4;2;2;
4;1;0;1229;2;0;0;0;25;18;4;2;2;
4;1;0;1181;2;0;1;0;25;18;4;2;2;
4;1;0;1198;2;1;0;0;25;18;4;2;2;
4;2;0;1155;2;0;0;0;25;18;4;2;2;
4;2;0;1368;2;0;1;1;25;18;4;2;2;
4;2;0;1417;2;1;0;1;25;18;4;2;2;
4;2;0;1361;2;1;1;0;25;18;4;2;2;
4;2;0;1548;2;1;1;1;25;18;4;2;2;
4;3;0;1405;4;0;0;1;25;18;4;2;2;
4;3;0;1309;2;1;0;0;25;18;4;2;2;
4;4;0;1517;2;0;0;0;25;18;4;2;2;
4;4;0;1573;2;1;0;0;25;18;4;2;2;
4;4;0;1501;2;1;1;0;25;18;4;2;2;
4;5;0;1710;2;0;0;0;25;18;4;2;2;
4;5;0;1807;2;0;1;0;25;18;4;2;2;
4;5;0;1710;2;1;0;0;25;18;4;2;2;
4;5;0;1519;2;1;0;1;25;18;4;2;2;
4;5;0;1807;2;1;1;0;25;18;4;2;2;
4;6;0;1708;2;0;0;0;25;18;4;2;2;
4;6;0;1686;2;0;1;0;25;18;4;2;2;
4;6;0;1665;2;1;0;0;25;18;4;2;2;
4;6;0;1798;2;1;0;1;25;18;4;2;2;
4;7;0;1722;2;0;0;0;25;18;4;2;2;
4;7;0;1718;2;1;0;0;25;18;4;2;2;
4;8;0;1845;2;0;0;0;25;18;4;2;2;
4;8;0;1806;2;0;0;1;25;18;4;2;2;
4;8;0;1763;2;0;1;1;25;18;4;2;2;
4;8;0;1854;2;1;0;0;25;18;4;2;2;
4;9;0;1753;2;0;1;1;25;18;4;2;2;
4;9;0;1877;2;1;0;0;25;18;4;2;2;
4;9;0;1838;2;1;0;1;25;18;4;2;2;
5;1;0;1048;6;1;0;1;25;18;4;2;2;
5;1;0;1938;4;1;1;1;25;18;4;2;2;
5;2;0;1350;4;0;0;0;25;18;4;2;2;
5;2;0;1850;2;0;1;1;25;18;4;2;2;
5;2;0;1285;4;1;0;1;25;18;4;2;2;
5;3;0;1614;6;0;0;1;25;18;4;2;2;
5;3;0;1618;2;0;1;0;25;18;4;2;2;
5;3;0;1462;4;1;0;1;25;18;4;2;2;
5;3;0;1789;2;1;1;0;25;18;4;2;2;
5;4;0;1536;2;0;0;0;25;18;4;2;2;
5;4;0;1633;2;0;1;0;25;18;4;2;2;
5;4;0;1523;2;1;0;0;25;18;4;2;2;
5;5;0;1684;2;0;0;0;25;18;4;2;2;
5;5;0;1694;4;0;0;1;25;18;4;2;2;
5;5;0;1667;2;1;0;0;25;18;4;2;2;
5;5;0;1606;4;1;0;1;25;18;4;2;2;
5;5;0;1650;2;1;1;0;25;18;4;2;2;
5;6;0;1713;2;0;0;0;25;18;4;2;2;
5;6;0;1646;4;0;1;1;25;18;4;2;2;
5;6;0;1753;2;1;0;0;25;18;4;2;2;
5;6;0;1810;2;1;0;1;25;18;4;2;2;
5;7;0;1789;2;0;0;0;25;18;4;2;2;
5;7;0;1861;2;1;0;0;25;18;4;2;2;
5;7;0;1789;2;1;0;1;25;18;4;2;2;
5;7;0;2111;2;1;1;0;25;18;4;2;2;
5;7;0;1973;2;1;1;1;25;18;4;2;2;
5;8;0;2145;2;1;0;0;25;18;4;2;2;
5;8;0;2062;2;1;1;0;25;18;4;2;2;
5;8;0;2003;2;1;1;1;25;18;4;2;2;
5;9;0;2086;2;0;0;0;25;18;4;2;2;
5;9;0;2061;2;0;1;0;25;18;4;2;2;
5;9;0;2318;2;1;0;0;25;18;4;2;2;
6;1;0;1478;2;0;0;0;25;18;4;2;2;
6;1;0;1286;7;0;0;1;25;18;4;2;2;
6;1;0;1878;4;0;1;1;25;18;4;2;2;
6;1;0;1443;2;1;1;0;25;18;4;2;2;
6;2;0;1584;6;0;0;1;25;18;4;2;2;
6;2;0;1795;4;0;1;0;25;18;4;2;2;
6;2;0;1911;4;0;1;1;25;18;4;2;2;
6;2;0;2043;4;1;0;1;25;18;4;2;2;
6;2;0;1911;4;1;1;1;25;18;4;2;2;
6;3;0;1594;6;0;0;1;25;18;4;2;2;
6;3;0;1641;6;0;1;1;25;18;4;2;2;
6;4;0;1680;4;0;0;0;25;18;4;2;2;
6;4;0;1701;6;1;0;1;25;18;4;2;2;
6;4;0;1668;4;1;1;0;25;18;4;2;2;
6;5;0;1809;6;0;0;1;25;18;4;2;2;
6;5;0;1982;2;1;0;0;25;18;4;2;2;
6;5;0;2005;2;1;0;1;25;18;4;2;2;
6;6;0;1820;2;0;0;0;25;18;4;2;2;
6;6;0;1808;4;1;0;0;25;18;4;2;2;
6;6;0;2089;2;1;0;1;25;18;4;2;2;
6;6;0;1956;2;1;1;0;25;18;4;2;2;
6;7;0;1876;2;0;0;0;25;18;4;2;2;
6;7;0;1865;2;1;0;0;25;18;4;2;2;
6;7;0;2109;2;1;0;1;25;18;4;2;2;
6;8;0;1913;2;0;0;0;25;18;4;2;2;
6;8;0;1987;2;0;1;0;25;18;4;2;2;
6;8;0;2118;2;0;1;1;25;18;4;2;2;
6;8;0;1996;2;1;0;0;25;18;4;2;2;
6;8;0;2011;2;1;0;1;25;18;4;2;2;
6;8;0;1987;2;1;1;0;25;18;4;2;2;
6;9;0;2435;2;0;1;1;25;18;4;2;2;
6;9;0;1940;2;1;0;0;25;18;4;2;2;
6;9;0;2024;2;1;0;1;25;18;4;2;2;
6;9;0;2480;2;1;1;0;25;18;4;2;2;
7;1;0;1715;5;0;0;1;25;18;4;2;2;
7;1;0;1345;9;0;1;0;25;18;4;2;2;
7;1;0;1583;9;1;0;1;25;18;4;2;2;
7;1;0;1345;9;1;1;0;25;18;4;2;2;
7;2;0;1646;4;0;0;0;25;18;4;2;2;
7;2;0;1763;8;0;1;1;25;18;4;2;2;
7;2;0;1847;2;1;0;0;25;18;4;2;2;
7;2;0;1802;8;1;0;1;25;18;4;2;2;
7;2;0;1792;8;1;1;1;25;18;4;2;2;
7;3;0;1766;2;0;0;0;25;18;4;2;2;
7;3;0;1743;6;0;1;1;25;18;4;2;2;
7;3;0;1762;2;1;0;0;25;18;4;2;2;
7;3;0;1797;2;1;1;0;25;18;4;2;2;
7;4;0;1905;4;0;0;0;25;18;4;2;2;
7;4;0;1840;6;0;0;1;25;18;4;2;2;
7;4;0;2079;4;0;1;1;25;18;4;2;2;
