ID;Number_Of_Tokens;Metric.Architecture_Violations;Metric.Clone;Metric.Dead_Code;Metric.Cycle;Metric.Metric;Metric.Style;Metric.Universal;Metric.Complexity
net/9p/trans_xen.c;2577;0;0;0;0;0;0;0;0
net/appletalk/aarp.c;4215;0;0;0;0;0;0;0;0
net/appletalk/atalk_proc.c;1145;0;0;0;0;0;0;0;0
net/appletalk/ddp.c;8006;0;0;0;0;0;0;0;0
net/appletalk/dev.c;97;0;0;0;0;0;0;0;0
net/appletalk/sysctl_net_atalk.c;184;0;0;0;0;0;0;0;0
net/atm/addr.c;910;0;0;0;0;0;0;0;0
net/atm/atm_misc.c;348;0.0074531172603379;0.00865386601524064;0.0113413842150311;0.00615267948450873;0.00991295323397276;0.0130741099834357;0.00683148367001098;0.0153273834280693
net/atm/atm_sysfs.c;920;0.0137101908489923;0.014654126979513;0.0167668466636737;0.0126878868931587;0.0156439243142057;0.0181289821232387;0.0132215104289968;0.0199003320477323
net/atm/br2684.c;4182;0.0489115218700729;0.0482478638074588;0.0467624630402871;0.0496302784053873;0.0475519618705765;0.0458047794101308;0.0492551009431536;0.0445593872473661
net/atm/clip.c;4443;0;0;0;0;0;0;0;0
net/atm/common.c;4850;0;0;0;0;0;0;0;0
net/atm/ioctl.c;1676;0;0;0;0;0;0;0;0
net/atm/lec.c;11575;0;0;0;0;0;0;0;0
net/atm/mpc.c;7433;0;0;0;0;0;0;0;0
net/atm/mpoa_caches.c;2813;0;0;0;0;0;0;0;0
net/atm/mpoa_proc.c;1386;0;0;0;0;0;0;0;0
net/atm/pppoatm.c;1953;0;0;0;0;0;0;0;0
net/atm/proc.c;2098;0;0;0;0;0;0;0;0
net/atm/pvc.c;737;0;0;0;0;0;0;0;0
net/atm/raw.c;370;0;0;0;0;0;0;0;0
net/atm/resources.c;2150;0;0;0;0;0;0;0;0
net/atm/signaling.c;1397;0;0;0;0;0;0;0;0
net/atm/svc.c;3580;0;0;0;0;0;0;0;0
net/ax25/af_ax25.c;8709;0;0;0;0;0;0;0;0
net/ax25/ax25_addr.c;1388;0;0;0;0;0;0;0;0
net/ax25/ax25_dev.c;785;0;0;0;0;0;0;0;0
net/ax25/ax25_ds_in.c;1216;0;0;0;0;0;0;0;0
net/ax25/ax25_ds_subr.c;639;0;0;0;0;0;0;0;0
net/ax25/ax25_ds_timer.c;854;0;0;0;0;0;0;0;0
net/ax25/ax25_iface.c;879;0;0;0;0;0;0;0;0
net/ax25/ax25_in.c;1928;0;0;0;0;0;0;0;0
net/ax25/ax25_ip.c;870;0;0;0;0;0;0;0;0
net/ax25/ax25_out.c;1579;0;0;0;0;0;0;0;0
net/ax25/ax25_route.c;2193;0;0;0;0;0;0;0;0
net/ax25/ax25_std_in.c;1935;0;0;0;0;0;0;0;0
net/ax25/ax25_std_subr.c;278;0;0;0;0;0;0;0;0
net/ax25/ax25_std_timer.c;704;0;0;0;0;0;0;0;0
net/ax25/ax25_subr.c;1340;0;0;0;0;0;0;0;0
net/ax25/ax25_timer.c;840;0;0;0;0;0;0;0;0
net/ax25/ax25_uid.c;767;0;0;0;0;0;0;0;0
net/ax25/sysctl_net_ax25.c;901;0;0;0;0;0;0;0;0
net/batman-adv/bat_algo.c;682;0;0;0;0;0;0;0;0
net/batman-adv/bat_iv_ogm.c;9599;0;0;0;0;0;0;0;0
net/batman-adv/bat_v.c;3974;0;0;0;0;0;0;0;0
net/batman-adv/bat_v_elp.c;1782;0;0;0;0;0;0;0;0
net/batman-adv/bat_v_ogm.c;3035;0;0;0;0;0;0;0;0
net/batman-adv/bitarray.c;209;0;0;0;0;0;0;0;0
net/batman-adv/bridge_loop_avoidance.c;8887;0;0;0;0;0;0;0;0
net/batman-adv/debugfs.c;1892;0;0;0;0;0;0;0;0
net/batman-adv/distributed-arp-table.c;5057;0;0;0;0;0;0;0;0
net/batman-adv/fragmentation.c;1880;0;0;0;0;0;0;0;0
net/batman-adv/gateway_client.c;2872;0;0;0;0;0;0;0;0
net/batman-adv/gateway_common.c;922;0.0183389864292232;0.0206506726843271;0.0258246933588689;0.0158353784764958;0.0230746723808795;0.0291605438657548;0.0171422149809064;0.0334985548190721
net/batman-adv/hard-interface.c;3468;0.0458361953976581;0.0468998263455851;0.0492804472029815;0.0446842592756529;0.0480151338789177;0.0508153068012285;0.0452855483765865;0.052811270869539
net/batman-adv/hash.c;265;0.0114744690579075;0.0141769009212452;0.0202254891764978;0.00854767486608385;0.0170106306292544;0.0241252003424211;0.010075406668743;0.0291964676901721
net/batman-adv/icmp_socket.c;1567;0.0255863039572203;0.0276653542202692;0.0323186885647013;0.0233346459905749;0.0298454152885136;0.0353188365555978;0.0245099693166786;0.0392202928166673
net/batman-adv/log.c;908;0.0185978827877643;0.0210382661926524;0.0265003370782762;0.0159548929414162;0.023597215799183;0.0300219024292049;0.0173344841862162;0.0346014209159048
net/batman-adv/main.c;2386;0;0;0;0;0;0;0;0
net/batman-adv/multicast.c;5056;0;0;0;0;0;0;0;0
net/batman-adv/netlink.c;2576;0;0;0;0;0;0;0;0
net/batman-adv/network-coding.c;6623;0;0;0;0;0;0;0;0
net/batman-adv/originator.c;5109;0;0;0;0;0;0;0;0
net/batman-adv/routing.c;4307;0;0;0;0;0;0;0;0
net/batman-adv/send.c;2662;0;0;0;0;0;0;0;0
net/batman-adv/soft-interface.c;3942;0;0;0;0;0;0;0;0
net/batman-adv/sysfs.c;5319;0;0;0;0;0;0;0;0
net/batman-adv/tp_meter.c;5099;0;0;0;0;0;0;0;0
net/batman-adv/trace.c;6;0;0;0;0;0;0;0;0
net/batman-adv/translation-table.c;15892;0;0;0;0;0;0;0;0
net/batman-adv/tvlv.c;2043;0;0;0;0;0;0;0;0
net/bluetooth/6lowpan.c;5363;0;0;0;0;0;0;0;0
net/bluetooth/a2mp.c;4767;0;0;0;0;0;0;0;0
net/bluetooth/af_bluetooth.c;3349;0;0;0;0;0;0;0;0
net/bluetooth/amp.c;2879;0;0;0;0;0;0;0;0
net/bluetooth/bnep/core.c;3390;0;0;0;0;0;0;0;0
net/bluetooth/bnep/netdev.c;896;0;0;0;0;0;0;0;0
net/bluetooth/bnep/sock.c;1062;0;0;0;0;0;0;0;0
net/bluetooth/cmtp/capi.c;2749;0;0;0;0;0;0;0;0
net/bluetooth/cmtp/core.c;2263;0;0;0;0;0;0;0;0
net/bluetooth/cmtp/sock.c;1034;0;0;0;0;0;0;0;0
net/bluetooth/ecdh_helper.c;840;0;0;0;0;0;0;0;0
net/bluetooth/hci_conn.c;7552;0;0;0;0;0;0;0;0
net/bluetooth/hci_core.c;19190;0;0;0;0;0;0;0;0
net/bluetooth/hci_debugfs.c;4748;0;0;0;0;0;0;0;0
net/bluetooth/hci_event.c;26443;0.296219878771672;0.286689549677896;0.265358748554899;0.306541438481001;0.276696188865911;0.25160612400731;0.301153777447287;0.233721918524735
net/bluetooth/hci_request.c;11695;0.137634564306508;0.135540349589575;0.130853074134949;0.13990264571611;0.133344387301373;0.127831043264806;0.138718749660095;0.12390113004211
net/bluetooth/hci_sock.c;8769;0.106253343286008;0.105658834133353;0.104328202591011;0.106897210004196;0.105035440711149;0.103470303447539;0.106561123625182;0.102354673153692
net/bluetooth/hci_sysfs.c;439;0.0167253686726325;0.0203441798045323;0.028443809921886;0.0128061152232339;0.0241388111331733;0.0336658909555989;0.014851892187687;0.0404567962064772
net/bluetooth/hidp/core.c;6226;0.0790955658709907;0.0798388558725433;0.081502489000405;0.0782905661635428;0.0806182586717926;0.0825750845236808;0.0787107609478686;0.0839699105564556
net/bluetooth/hidp/sock.c;1338;0.0266033288347202;0.0298315412919619;0.0370569326956199;0.0231071024920667;0.0332165966815001;0.0417153651009904;0.0249320672223809;0.0477732896866607
net/bluetooth/l2cap_core.c;34438;0;0;0;0;0;0;0;0
net/bluetooth/l2cap_sock.c;7301;0;0;0;0;0;0;0;0
net/bluetooth/leds.c;412;0;0;0;0;0;0;0;0
net/bluetooth/lib.c;517;0;0;0;0;0;0;0;0
net/bluetooth/mgmt.c;36969;0;0;0;0;0;0;0;0
net/bluetooth/mgmt_util.c;1225;0;0;0;0;0;0;0;0
net/bluetooth/rfcomm/core.c;11133;0;0;0;0;0;0;0;0
net/bluetooth/rfcomm/sock.c;4869;0;0;0;0;0;0;0;0
net/bluetooth/rfcomm/tty.c;5121;0;0;0;0;0;0;0;0
net/bluetooth/sco.c;5493;0;0;0;0;0;0;0;0
net/bluetooth/selftest.c;783;0;0;0;0;0;0;0;0
net/bluetooth/smp.c;18432;0;0;0;0;0;0;0;0
net/bpf/test_run.c;1216;0;0;0;0;0;0;0;0
net/bpfilter/bpfilter_kern.c;514;0;0;0;0;0;0;0;0
net/bpfilter/main.c;225;0;0;0;0;0;0;0;0
net/bridge/br.c;1078;0;0;0;0;0;0;0;0
net/bridge/br_arp_nd_proxy.c;2336;0;0;0;0;0;0;0;0
net/bridge/br_device.c;2122;0;0;0;0;0;0;0;0
net/bridge/br_fdb.c;5574;0;0;0;0;0;0;0;0
net/bridge/br_forward.c;1489;0;0;0;0;0;0;0;0
net/bridge/br_if.c;2910;0;0;0;0;0;0;0;0
net/bridge/br_input.c;1413;0;0;0;0;0;0;0;0
net/bridge/br_ioctl.c;1968;0;0;0;0;0;0;0;0
net/bridge/br_mdb.c;4368;0;0;0;0;0;0;0;0
net/bridge/br_multicast.c;13265;0;0;0;0;0;0;0;0
net/bridge/br_netfilter_hooks.c;4817;0;0;0;0;0;0;0;0
net/bridge/br_netfilter_ipv6.c;992;0;0;0;0;0;0;0;0
net/bridge/br_netlink.c;8642;0;0;0;0;0;0;0;0
net/bridge/br_netlink_tunnel.c;1313;0;0;0;0;0;0;0;0
net/bridge/br_nf_core.c;286;0;0;0;0;0;0;0;0
net/bridge/br_stp.c;2924;0;0;0;0;0;0;0;0
net/bridge/br_stp_bpdu.c;1494;0;0;0;0;0;0;0;0
net/bridge/br_stp_if.c;1630;0;0;0;0;0;0;0;0
net/bridge/br_stp_timer.c;825;0;0;0;0;0;0;0;0
net/bridge/br_switchdev.c;735;0;0;0;0;0;0;0;0
net/bridge/br_sysfs_br.c;4847;0;0;0;0;0;0;0;0
net/bridge/br_sysfs_if.c;2039;0;0;0;0;0;0;0;0
net/bridge/br_vlan.c;5384;0;0;0;0;0;0;0;0
net/bridge/br_vlan_tunnel.c;815;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_802_3.c;336;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_among.c;1512;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_arp.c;754;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_arpreply.c;470;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_dnat.c;427;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_ip.c;942;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_ip6.c;871;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_limit.c;584;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_log.c;1112;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_mark.c;444;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_mark_m.c;442;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_nflog.c;294;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_pkttype.c;192;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_redirect.c;356;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_snat.c;377;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_stp.c;1032;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebt_vlan.c;595;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebtable_broute.c;379;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebtable_filter.c;491;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebtable_nat.c;490;0;0;0;0;0;0;0;0
net/bridge/netfilter/ebtables.c;13143;0;0;0;0;0;0;0;0
net/bridge/netfilter/nf_log_bridge.c;293;0;0;0;0;0;0;0;0
net/bridge/netfilter/nft_reject_bridge.c;2171;0;0;0;0;0;0;0;0
net/caif/caif_dev.c;2349;0;0;0;0;0;0;0;0
net/caif/caif_socket.c;4853;0;0;0;0;0;0;0;0
net/caif/caif_usb.c;979;0;0;0;0;0;0;0;0
net/caif/cfcnfg.c;2868;0;0;0;0;0;0;0;0
net/caif/cfctrl.c;3262;0;0;0;0;0;0;0;0
net/caif/cfdbgl.c;290;0;0;0;0;0;0;0;0
net/caif/cfdgml.c;563;0;0;0;0;0;0;0;0
net/caif/cffrml.c;930;0;0;0;0;0;0;0;0
net/caif/cfmuxl.c;1280;0;0;0;0;0;0;0;0
net/caif/cfpkt_skbuff.c;1845;0;0;0;0;0;0;0;0
net/caif/cfrfml.c;1294;0;0;0;0;0;0;0;0
net/caif/cfserl.c;827;0;0;0;0;0;0;0;0
net/caif/cfsrvl.c;1070;0;0;0;0;0;0;0;0
net/caif/cfutill.c;545;0;0;0;0;0;0;0;0
net/caif/cfveil.c;520;0;0;0;0;0;0;0;0
net/caif/cfvidl.c;340;0;0;0;0;0;0;0;0
net/caif/chnl_net.c;2406;0;0;0;0;0;0;0;0
net/can/af_can.c;3497;0;0;0;0;0;0;0;0
net/can/bcm.c;7117;0;0;0;0;0;0;0;0
net/can/gw.c;5296;0;0;0;0;0;0;0;0
net/can/proc.c;2144;0;0;0;0;0;0;0;0
net/can/raw.c;3806;0;0;0;0;0;0;0;0
net/ceph/armor.c;609;0;0;0;0;0;0;0;0
net/ceph/auth.c;1709;0;0;0;0;0;0;0;0
net/ceph/auth_none.c;569;0;0;0;0;0;0;0;0
net/ceph/auth_x.c;4818;0;0;0;0;0;0;0;0
net/ceph/buffer.c;281;0;0;0;0;0;0;0;0
net/ceph/ceph_common.c;3586;0;0;0;0;0;0;0;0
net/ceph/ceph_fs.c;425;0;0;0;0;0;0;0;0
net/ceph/ceph_hash.c;829;0;0;0;0;0;0;0;0
net/ceph/ceph_strings.c;196;0;0;0;0;0;0;0;0
net/ceph/cls_lock_client.c;1898;0;0;0;0;0;0;0;0
net/ceph/crush/crush.c;603;0;0;0;0;0;0;0;0
net/ceph/crush/hash.c;883;0;0;0;0;0;0;0;0
net/ceph/crush/mapper.c;4565;0;0;0;0;0;0;0;0
net/ceph/crypto.c;1622;0;0;0;0;0;0;0;0
net/ceph/debugfs.c;2972;0;0;0;0;0;0;0;0
net/ceph/messenger.c;15868;0;0;0;0;0;0;0;0
net/ceph/mon_client.c;6384;0;0;0;0;0;0;0;0
net/ceph/msgpool.c;449;0;0;0;0;0;0;0;0
net/ceph/osd_client.c;28608;0;0;0;0;0;0;0;0
net/ceph/osdmap.c;13248;0;0;0;0;0;0;0;0
net/ceph/pagelist.c;836;0;0;0;0;0;0;0;0
net/ceph/pagevec.c;932;0;0;0;0;0;0;0;0
net/ceph/snapshot.c;161;0;0;0;0;0;0;0;0
net/ceph/string_table.c;561;0;0;0;0;0;0;0;0
net/ceph/striper.c;1040;0;0;0;0;0;0;0;0
net/compat.c;5726;0;0;0;0;0;0;0;0
net/core/datagram.c;3393;0;0;0;0;0;0;0;0
net/core/dev.c;36557;0;0;0;0;0;0;0;0
net/core/dev_addr_lists.c;2877;0;0;0;0;0;0;0;0
net/core/dev_ioctl.c;1773;0;0;0;0;0;0;0;0
net/core/devlink.c;21166;0;0;0;0;0;0;0;0
net/core/drop_monitor.c;1810;0;0;0;0;0;0;0;0
net/core/dst.c;1460;0;0;0;0;0;0;0;0
net/core/dst_cache.c;661;0;0;0;0;0;0;0;0
net/core/ethtool.c;13450;0;0;0;0;0;0;0;0
net/core/failover.c;1083;0;0;0;0;0;0;0;0
net/core/fib_notifier.c;787;0;0;0;0;0;0;0;0
net/core/fib_rules.c;6438;0;0;0;0;0;0;0;0
net/core/filter.c;37373;0;0;0;0;0;0;0;0
net/core/flow_dissector.c;6883;0;0;0;0;0;0;0;0
net/core/gen_estimator.c;973;0;0;0;0;0;0;0;0
net/core/gen_stats.c;1480;0;0;0;0;0;0;0;0
net/core/gro_cells.c;425;0;0;0;0;0;0;0;0
net/core/hwbm.c;353;0;0;0;0;0;0;0;0
net/core/link_watch.c;840;0;0;0;0;0;0;0;0
net/core/lwt_bpf.c;1731;0;0;0;0;0;0;0;0
net/core/lwtunnel.c;1661;0;0;0;0;0;0;0;0
net/core/neighbour.c;17646;0;0;0;0;0;0;0;0
net/core/net-procfs.c;1716;0;0;0;0;0;0;0;0
net/core/net-sysfs.c;8195;0.114103728574454;0.117964549909064;0.126605847733056;0.109922372659028;0.12201294952336;0.132177158622507;0.112104962206349;0.139422209805971
net/core/net-traces.c;99;0.0270935815592902;0.0350502202464511;0.0528587844390777;0.0184763637814996;0.0433934327912646;0.0643405143403881;0.0229743902181887;0.0792716001225898
net/core/net_namespace.c;4842;0.0782303940887067;0.0838357554959955;0.0963816863054028;0.0721596622295646;0.0897134537867285;0.10447043435696;0.0753284706659545;0.114989214372386
net/core/netclassid_cgroup.c;535;0.0319896862599604;0.0397882213900588;0.0572429178936107;0.023543698173025;0.0479656489052227;0.0684964983954069;0.0279523459150966;0.0831308938457002
net/core/netevent.c;91;0.0273146536956983;0.0353665598719922;0.0533883519441796;0.0185942590949703;0.0438096684836875;0.0650075564276105;0.0231461419026126;0.0801174170805117
net/core/netpoll.c;3878;0.0681649568922525;0.0743456405023278;0.0881792585855456;0.0614711382110571;0.0808266130660704;0.0970982182878193;0.0649651863095073;0.108696623192593
net/core/netprio_cgroup.c;1085;0.0382148088228717;0.0458284121427113;0.0628691939086783;0.0299691060254536;0.0538119229224356;0.0738559108291259;0.0342732085940877;0.0881432712019952
net/core/page_pool.c;1086;0;0;0;0;0;0;0;0
net/core/pktgen.c;18413;0;0;0;0;0;0;0;0
net/core/ptp_classifier.c;87;0;0;0;0;0;0;0;0
net/core/request_sock.c;246;0;0;0;0;0;0;0;0
net/core/rtnetlink.c;24459;0;0;0;0;0;0;0;0
net/core/scm.c;1702;0;0;0;0;0;0;0;0
net/core/secure_seq.c;835;0;0;0;0;0;0;0;0
net/core/skbuff.c;22392;0;0;0;0;0;0;0;0
net/core/skmsg.c;4123;0;0;0;0;0;0;0;0
net/core/sock.c;14273;0;0;0;0;0;0;0;0
net/core/sock_diag.c;1575;0;0;0;0;0;0;0;0
net/core/sock_map.c;5234;0;0;0;0;0;0;0;0
net/core/sock_reuseport.c;1295;0;0;0;0;0;0;0;0
net/core/stream.c;864;0;0;0;0;0;0;0;0
net/core/sysctl_net_core.c;2735;0;0;0;0;0;0;0;0
net/core/timestamping.c;285;0;0;0;0;0;0;0;0
net/core/tso.c;534;0;0;0;0;0;0;0;0
net/core/utils.c;2165;0;0;0;0;0;0;0;0
net/core/xdp.c;1830;0;0;0;0;0;0;0;0
net/dcb/dcbevent.c;86;0;0;0;0;0;0;0;0
net/dcb/dcbnl.c;10582;0;0;0;0;0;0;0;0
net/dccp/ackvec.c;1438;0;0;0;0;0;0;0;0
net/dccp/ccid.c;983;0;0;0;0;0;0;0;0
net/dccp/ccids/ccid2.c;3380;0;0;0;0;0;0;0;0
net/dccp/ccids/ccid3.c;3566;0;0;0;0;0;0;0;0
net/dccp/ccids/lib/loss_interval.c;844;0;0;0;0;0;0;0;0
net/dccp/ccids/lib/packet_history.c;1802;0;0;0;0;0;0;0;0
net/dccp/ccids/lib/tfrc.c;113;0;0;0;0;0;0;0;0
net/dccp/ccids/lib/tfrc_equation.c;416;0;0;0;0;0;0;0;0
net/dccp/diag.c;375;0;0;0;0;0;0;0;0
net/dccp/feat.c;6172;0;0;0;0;0;0;0;0
net/dccp/input.c;2465;0;0;0;0;0;0;0;0
net/dccp/ipv4.c;4486;0;0;0;0;0;0;0;0
net/dccp/ipv6.c;5177;0;0;0;0;0;0;0;0
net/dccp/minisocks.c;996;0;0;0;0;0;0;0;0
net/dccp/options.c;2737;0;0;0;0;0;0;0;0
net/dccp/output.c;2714;0;0;0;0;0;0;0;0
net/dccp/proto.c;5331;0;0;0;0;0;0;0;0
net/dccp/qpolicy.c;555;0;0;0;0;0;0;0;0
net/dccp/sysctl.c;452;0;0;0;0;0;0;0;0
net/dccp/timer.c;981;0;0;0;0;0;0;0;0
net/decnet/af_decnet.c;10843;0;0;0;0;0;0;0;0
net/decnet/dn_dev.c;6756;0;0;0;0;0;0;0;0
net/decnet/dn_fib.c;4146;0;0;0;0;0;0;0;0
net/decnet/dn_neigh.c;2990;0;0;0;0;0;0;0;0
net/decnet/dn_nsp_in.c;3654;0;0;0;0;0;0;0;0
net/decnet/dn_nsp_out.c;3009;0;0;0;0;0;0;0;0
net/decnet/dn_route.c;9316;0;0;0;0;0;0;0;0
net/decnet/dn_rules.c;1078;0;0;0;0;0;0;0;0
net/decnet/dn_table.c;4908;0;0;0;0;0;0;0;0
net/decnet/dn_timer.c;280;0;0;0;0;0;0;0;0
net/decnet/netfilter/dn_rtmsg.c;628;0;0;0;0;0;0;0;0
net/decnet/sysctl_net_decnet.c;1582;0.0489888494016566;0.0579649730711281;0.0780553505350036;0.0392675065706657;0.0673772023487722;0.0910082357401511;0.0443418656250014;0.10785244317121
net/dns_resolver/dns_key.c;1318;0.0462506072975569;0.0553897151424522;0.0758448841049162;0.0363527489567909;0.0649728471932983;0.0890329616260632;0.0415192458043132;0.106183018147433
net/dns_resolver/dns_query.c;474;0.0372715959329341;0.0468649345368504;0.0683367636680545;0.0268817955138917;0.0569243661805158;0.082180313316692;0.0323050769211718;0.100182759734665
net/dsa/dsa.c;1381;0.0471332517668906;0.0563015577369334;0.0768220779999202;0.0372037712030989;0.0659153065059183;0.0900522895175637;0.0423867742593332;0.107257137984175
net/dsa/dsa2.c;3379;0;0;0;0;0;0;0;0
net/dsa/legacy.c;3180;0;0;0;0;0;0;0;0
net/dsa/master.c;929;0;0;0;0;0;0;0;0
net/dsa/port.c;1898;0;0;0;0;0;0;0;0
net/dsa/slave.c;7530;0;0;0;0;0;0;0;0
net/dsa/switch.c;1460;0;0;0;0;0;0;0;0
net/dsa/tag_brcm.c;631;0;0;0;0;0;0;0;0
net/dsa/tag_dsa.c;555;0;0;0;0;0;0;0;0
net/dsa/tag_edsa.c;682;0;0;0;0;0;0;0;0
net/dsa/tag_gswip.c;364;0;0;0;0;0;0;0;0
net/dsa/tag_ksz.c;345;0;0;0;0;0;0;0;0
net/dsa/tag_lan9303.c;446;0;0;0;0;0;0;0;0
net/dsa/tag_mtk.c;379;0;0;0;0;0;0;0;0
net/dsa/tag_qca.c;410;0;0;0;0;0;0;0;0
net/dsa/tag_trailer.c;368;0;0;0;0;0;0;0;0
net/ethernet/eth.c;1859;0;0;0;0;0;0;0;0
net/hsr/hsr_device.c;2001;0;0;0;0;0;0;0;0
net/hsr/hsr_forward.c;1667;0;0;0;0;0;0;0;0
net/hsr/hsr_framereg.c;2082;0;0;0;0;0;0;0;0
net/hsr/hsr_main.c;450;0;0;0;0;0;0;0;0
net/hsr/hsr_netlink.c;2141;0;0;0;0;0;0;0;0
net/hsr/hsr_slave.c;712;0;0;0;0;0;0;0;0
net/ieee802154/6lowpan/core.c;899;0;0;0;0;0;0;0;0
net/ieee802154/6lowpan/reassembly.c;2847;0;0;0;0;0;0;0;0
net/ieee802154/6lowpan/rx.c;1129;0;0;0;0;0;0;0;0
net/ieee802154/6lowpan/tx.c;1537;0;0;0;0;0;0;0;0
net/ieee802154/core.c;1469;0;0;0;0;0;0;0;0
net/ieee802154/header_ops.c;1433;0;0;0;0;0;0;0;0
net/ieee802154/netlink.c;614;0;0;0;0;0;0;0;0
net/ieee802154/nl-mac.c;6713;0;0;0;0;0;0;0;0
net/ieee802154/nl-phy.c;1494;0;0;0;0;0;0;0;0
net/ieee802154/nl802154.c;11828;0;0;0;0;0;0;0;0
net/ieee802154/nl_policy.c;599;0;0;0;0;0;0;0;0
net/ieee802154/socket.c;5012;0;0;0;0;0;0;0;0
net/ieee802154/sysfs.c;401;0;0;0;0;0;0;0;0
net/ieee802154/trace.c;9;0;0;0;0;0;0;0;0
net/ife/ife.c;724;0;0;0;0;0;0;0;0
net/ipv4/af_inet.c;8420;0;0;0;0;0;0;0;0
net/ipv4/ah4.c;3232;0;0;0;0;0;0;0;0
net/ipv4/arp.c;6089;0;0;0;0;0;0;0;0
net/ipv4/bpfilter/sockopt.c;202;0;0;0;0;0;0;0;0
net/ipv4/cipso_ipv4.c;7271;0;0;0;0;0;0;0;0
net/ipv4/datagram.c;625;0;0;0;0;0;0;0;0
net/ipv4/devinet.c;12822;0;0;0;0;0;0;0;0
net/ipv4/esp4.c;5440;0;0;0;0;0;0;0;0
