ID;Metric.Number_Of_Parameters;Metric.Number_Of_Called_Routines;Metric.Number_Of_Calling_Routines;Metric.Number_Of_Statements;Metric.Number_Of_Returns;Metric.Number_Of_Gotos;Metric.Number_Of_Invocations;Metric.McCabe_Complexity;Metric.Extended_McCabe;Metric.Switch_Complexity;Metric.Maximum_Nesting;Metric.Maximum_Extended_Nesting;Metric.LOC;Metric.NPath;Metric.LogNPath_Floor;Metric.LogNPath_Ceiling;Metric.Comment.Preceding;Metric.Lines.LOC;Metric.Lines.Empty;Metric.Lines.Code;Metric.Lines.Comment;Metric.Lines.Only_Comment;Metric.Lines.Preproc;Metric.Lines.PP_If;Metric.Lines.PP_Elif;Metric.Lines.PP_Else;Metric.Lines.PP_Endif;Metric.Lines.PP_Define;Metric.Lines.PP_Undef;Metric.Lines.PP_Pragma;Metric.Lines.PP_Line;Metric.Lines.PP_Error;Metric.Lines.PP_Warning;Metric.Lines.PP_Sharp;Metric.Lines.Fixme;Metric.Lines.Hack;Metric.Lines.Todo;Metric.Lines.Check;Metric.Lines.XXX;Metric.Lines.Debug;Metric.Lines.Routine.LOC;Metric.Lines.Routine.Code;Metric.Lines.Routine.Comment;Metric.Halstead.Total_Operators;Metric.Halstead.Total_Operands;Metric.Halstead.Different_Operators;Metric.Halstead.Different_Operands;Metric.Halstead.Length;Metric.Halstead.Vocabulary;Metric.Comment.Internal;Metric.Halstead.Vocabulary_Frequency;Metric.Halstead.Volume;Metric.Halstead.Difficulty;Metric.Halstead.Effort;Metric.Comment.Density;Metric.Lines.Class.LOC;Metric.Lines.Class.Code;Metric.Lines.Class.Comment;Metric.Number_Of_Methods;Metric.Number_Of_Members;Metric.Number_Of_Method_Templates;Metric.Number_Of_Namespaces;Metric.Number_Of_Classs;Metric.Number_Of_Class_Templates;Metric.Number_Of_Interfaces;Metric.Number_Of_Interface_Templates;Metric.Number_Of_Types;Metric.Number_Of_Constants;Metric.Number_Of_Descendants
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:minimalColumns;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
i global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Item(!0+6!System:Int32@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll);1;1;2;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;3;5;3;8;8;0;1;24;2.5;60;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:get_Item[Item](!0+6!System:Int32@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll)_s->!0+22!PathData@C:!38+51!;1;1;2;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;3;5;3;8;8;0;1;24;2.5;60;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!;4;25;3;24;2;0;18;13;16;13;11;11;56;20;7;9;4;135;14;69;52;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;62;58;3;229;119;33;61;348;94;2;3.702128;2280.996826;32.188526;73421.929688;1.759523;135;69;52;7;8;0;0;1;0;0;0;0;0;15
R global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!:Filename()_s->!0+6!System:String@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^;0;2;1;5;1;0;3;2;2;2;2;2;9;2;1;1;1;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;35;20;13;10;55;23;0;2.391304;248.795914;13;3234.346924;0.2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!:NewName(!0+6!System:String@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^,!109+117!,!229+7!!Int32@C:!132+95!,!229+9!)_s->!109+117!;4;2;1;3;1;0;2;2;2;2;2;2;7;2;1;1;1;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;34;17;15;9;51;24;0;2.125;233.833084;14.166667;3312.635498;0.333333;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!:Start()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;4;0;4;0;0;3;2;2;2;2;2;9;2;1;1;0;10;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;1;28;11;12;10;39;22;1;1.772727;173.917831;6.6;1147.857666;0.25;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!:Update()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;10;0;7;0;0;5;4;6;4;2;2;16;10;3;4;0;17;1;14;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;14;2;53;36;19;22;89;41;1;2.170732;476.822144;15.545455;7412.416992;0.142857;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!:OnApplicationQuit()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;3;0;2;0;0;2;2;3;2;2;2;10;3;1;2;1;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;11;0;26;9;13;8;35;21;0;1.666667;153.73111;7.3125;1124.158691;0.5;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!:SaveFile()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;3;1;3;0;0;3;1;1;1;1;1;5;1;0;0;1;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;6;0;20;10;11;8;30;19;0;1.578947;127.437813;6.875;876.134949;0.333333;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+7!osition@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+68!:!13+7!osition(.ctor)()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
